ID,LED,Band_A,Band_B,Band_C,Band_D,Band_E,Band_F,Band_G,Band_H,Band_I,Band_J,Band_K,Band_L,Band_R,Band_S,Band_T,Band_U,Band_V,Band_W,Condition
69,B,0.087011278,0.24874592396996348,0.8944002950723364,0.5910807258014689,1.485326444736065,2.5560828945075658,2.236415553153737,0.9731710885066969,0.1997732051972132,0.11178996766775963,0.3227507337190855,0.022483136,null,null,null,null,null,null,Healthy
70,R,0.15994729583788073,0.25455652370554266,0.7904663384431712,0.5029380494004084,2.0329814949569847,3.1407813625834753,4.050329764055202,1.3075780944562883,0.4548620611001691,0.47553387709454725,0.5743198234072068,0.511312008,null,null,null,null,null,null,Healthy
71,G,0.14472809522492386,0.26305361439128866,1.113437359622204,0.6658862691071995,2.724295055931407,4.559650107814427,5.522908829102817,1.4003256993352542,0.361151755,0.2929557308083219,0.3504237219702928,0.10380676220432655,null,null,null,null,null,null,Healthy
72,B,0.2234617837541125,0.22326361202677245,0.7927032533210501,0.5819649677139284,1.6994323073515065,2.6497337072063014,2.4695465858356664,0.9442003363553052,0.1619092033235978,0.36835361569991837,0.22827657634250245,0.13855939297612035,null,null,null,null,null,null,Healthy
73,R,0.14654284522782463,0.29168337850748816,0.6883929389341076,0.7342183616788154,1.572725225728076,2.616234679439913,3.292169870631277,1.3820901091961622,0.37428645484732176,0.299171099,0.3821561589985515,0.42686183040786607,null,null,null,null,null,null,Healthy
74,G,0.1740481920828823,0.17699000138587845,0.8988474047649199,0.6289748605015977,1.9610522816839604,4.633128315219174,5.733165641118266,1.464147486806958,0.7162425111011862,0.2724647970559829,0.23267149674654197,0.20967721633688563,null,null,null,null,null,null,Healthy
75,B,0.053520946,0.32421765786853124,0.819741132,0.40339293857453795,1.6474631471588934,2.2559514049650367,2.5297773204103593,0.8824986969890527,0.4620442529462146,0.2368167393975448,0.11897026888030658,0.086511131,null,null,null,null,null,null,Healthy
76,R,0.15776597596700914,0.2147058102591812,0.685156865,0.34693870345506544,1.5459159064972443,2.8322981455160203,3.986794520096814,1.5445899087496764,0.6106515073280606,0.21917881095781377,0.4957107286063593,0.5145169609240919,null,null,null,null,null,null,Healthy
77,G,0.092350475,0.3819200330222284,0.9487439964485035,0.3740628246244628,2.393399340331688,4.450223126130323,4.095862995306259,1.247005687686331,0.40764978685061865,0.20756079276771972,0.1615101117977266,0.23238677426094212,null,null,null,null,null,null,Healthy
78,B,0.10582602935219233,0.2832750230243677,1.0596370756398172,0.4219964248691931,1.4721724028309744,1.956177849933598,2.510911366881734,1.0486827582014213,0.3173065860158915,0.13288081682272046,0.11873805664521697,0.1915275199062838,null,null,null,null,null,null,Healthy
79,R,0.11052833036280177,0.30041316259408374,0.9413325847772869,0.5592381161406127,1.7306328709744407,3.271186545514256,3.624399828910279,1.9668399798715346,0.7868119429067554,0.36224072577475436,0.5194400096085254,0.6639584358797413,null,null,null,null,null,null,Healthy
80,G,0.12432055048998264,0.26498558601191385,0.9090228122069025,0.5751311144653924,2.221629820443067,4.064165622128641,4.727992244194889,1.4630730806594237,0.44561434374930037,0.24205611522131365,0.23165913002191782,0.2960079440166961,null,null,null,null,null,null,Healthy
81,B,0.1278961881340452,0.4926442652011352,1.1195803426776083,0.5684416106825305,1.7635603840306355,3.224741027470601,2.813214120611178,1.0429764846660994,0.28864634776298803,0.27178623177445305,0.096144922,0.19658904342145286,null,null,null,null,null,null,Healthy
82,R,0.088034487,0.2601996569860487,0.7845320424519749,0.5615739982557982,1.7823072166320952,3.044324854359474,3.5009115962213837,1.6488793573761664,0.5269951849334937,0.5326332186842654,0.5924343803827569,0.4435022085325129,null,null,null,null,null,null,Healthy
83,G,0.11737624912308965,0.36650739296248186,0.8310950593173748,0.4043885640608025,2.1469211280461056,4.455420717920564,5.0497426252506745,1.293104060765179,0.20050448186565187,0.37819856707996385,0.23100040853753276,0.15700320509363094,null,null,null,null,null,null,Healthy
84,B,0.26260859759692967,0.42216771052889457,0.8228835085354914,0.6604560602302052,1.677785294162635,2.9595601480446763,3.125393254733246,0.9354436474857559,0.47724581297849866,0.11527602419297005,0.31331968244889424,0.16951486223006992,null,null,null,null,null,null,Healthy
85,R,0.13546778104837712,0.1994561721632844,0.7184995460302136,0.37544339209857747,1.450080055250447,2.3948751423612293,3.4710135333179335,1.483111940350165,0.5046184048229941,0.3309090941181043,0.22604236215935677,0.4503084804013283,null,null,null,null,null,null,Healthy
86,G,0.1743825753364965,0,1.0627890721736224,0.5857785257428508,2.546715857654225,4.5658526643901185,5.627164208861993,1.4683652251542028,0.36026486063814883,0.141150812,0.3966027820581338,0.38238763501490325,null,null,null,null,null,null,Healthy
87,B,0.11024100254826828,0.22428250132260755,0.7177955853770032,0.3499615917186579,1.256502634067507,2.4213195049007945,2.2731549996520237,0.7709024140011927,0.28385324792511674,0.29576025663911554,0.21336598684809416,0.30094428563774495,null,null,null,null,null,null,Healthy
88,R,0.1893376590845236,0.1002251390399797,0.5992738463066358,0.5308417717901954,1.7781751027529649,2.561445122446399,3.267869091329135,1.4946651737441297,0.5031915011496544,0.4865697329285209,0.4578723489968532,0.27159419380253935,null,null,null,null,null,null,Healthy
89,G,0.2664122946201334,0.28443430089830884,0.7426582172578264,0.4620287047160391,2.328139876601052,3.6404442694782504,5.008904871,1.331951927925606,0.4668072357092689,0.29960474041183177,0.2963818014441837,0.23931667322453307,null,null,null,null,null,null,Healthy
90,B,0.11905032653278105,0.30666389052180965,0.988518375,0.7885222028315831,1.6495105353047068,2.7613059239397026,2.7107412937709396,0.9259600893828956,0.20595717843163786,0.10357568849910298,0.1926933310648559,0.22222887001566896,null,null,null,null,null,null,Healthy
91,R,0.12308240343652782,0.13152238130291546,0.81862795,0.6238283397948791,2.022521149142153,3.2241682861264556,4.107431635,1.7718990884430075,0.6107082893659269,0.42770283625743766,0.4304811106090613,0.5981347245181031,null,null,null,null,null,null,Healthy
